EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=86400
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-240
1092945600,50.117,51.978,47.932,49.955,0,1
1093032000,54.1,54.49,50.2,50.69,0,1
1093291200,54.65,56.68,54.47,55.32,0,1
1093377600,52.38,55.74,51.73,55.56,0,1
1093464000,52.95,53.95,51.89,52.43,0,1
1093550400,53.9,53.92,52.28,52.42,0,1
1093636800,53.02,54.26,52.79,54,0,1
1093896000,50.95,52.69,50.95,52.69,0,1
1093982400,51.13,51.8,51.03,51.11,0,1
1094068800,50.07,51.43,49.79,51.3,0,1
1094155200,50.7,51.13,49.42,49.5,0,1
1094241600,49.95,50.82,49.61,50.42,0,1
1094587200,50.74,50.95,49.76,50.45,0,1
1094673600,51.1,51.46,50.2,50.32,0,1
1094760000,51.1,51.3,50.45,51.2,0,1
1094846400,52.61,53.23,50.6,50.75,0,1
1095105600,53.7,54.15,53.18,53.26,0,1
1095192000,55.69,55.94,53.34,53.67,0,1
1095278400,55.94,57.06,55.04,55.22,0,1
1095364800,56.93,57.84,55.77,56.11,0,1
1095451200,58.69,58.69,56.72,57.15,0,1
1095710400,59.62,60.74,58.33,58.42,0,1
1095796800,58.86,60.15,58.7,60.04,0,1
1095883200,59.13,59.78,58.35,58.67,0,1
1095969600,60.35,61.25,58.45,59.36,0,1
1096056000,59.86,61.99,59.82,60.42,0,1
1096315200,59.07,60.38,58.84,59.72,0,1
1096401600,63.37,63.64,60.04,60.51,0,1
1096488000,65.47,67.44,63.05,63.2,0,1
1096574400,64.735,66.084,64.436,64.885,0,1
1096660800,66.22,67.05,64.39,65.33,0,1
1096920000,67.46,68.37,66.95,67.84,0,1
1097006400,69.12,69.2,66.05,67.26,0,1
1097092800,68.47,69.16,67.93,68.77,0,1
1097179200,69.36,69.87,68.21,68.21,0,1
1097265600,68.8,69.77,68.44,69.3,0,1
1097524800,67.56,69.36,66.86,68.44,0,1
1097611200,68.63,68.74,66.63,67.18,0,1
1097697600,70.38,71.7,69.97,71.59,0,1
1097784000,70.93,71.12,69.21,70.44,0,1
1097870400,71.98,72.68,70.9,72.4,0,1
1098129600,74.51,74.53,70.53,71.53,0,1
1098216000,73.9,76.12,73.6,75.17,0,1
1098302400,70.17,74.42,69.73,73.9,0,1
1098388800,74.62,74.99,70.74,71.99,0,1
1098475200,86.129,89.995,81.958,85.132,0,1
1098734400,93.61,97.12,86.19,88.05,0,1
1098820800,90.809,96.224,89.91,93.131,0,1
1098907200,92.89,94.67,90.79,91.05,0,1
1098993600,96.55,97.1,92.71,93.22,0,1
1099080000,95.22,99.88,95.2,99.34,0,1
1099342800,97.92,98.74,95.54,96.65,0,1
1099429200,97.34,99.53,96.57,99.27,0,1
1099515600,95.74,100.7,95.28,99,0,1
1099602000,92.26,95.1,91.58,94.03,0,1
1099688400,84.59,91.06,84.19,90.91,0,1
1099947600,86.19,87.63,84.62,85.38,0,1
1100034000,84.27,87.51,82.55,86.96,0,1
1100120400,83.85,86.17,83.08,85.25,0,1
1100206800,91.42,91.78,83.7,84.48,0,1
1100293200,90.91,94.81,88.61,92.52,0,1
1100552400,92.34,94.07,89.29,90.13,0,1
1100638800,86.186,89.645,85.33,88.661,0,1
1100725200,86.16,88.66,84.42,84.43,0,1
1100811600,83.69,87.12,82.78,85.11,0,1
1100898000,84.62,84.91,83.18,84.45,0,1
1101157200,82.467,84.665,80.574,84.238,0,1
1101243600,83.676,85.33,83.167,83.874,0,1
1101330000,87.29,88.52,86.17,87.33,0,1
1101502800,89.61,89.92,87.57,87.81,0,1
1101762000,90.434,91.384,88.666,90.037,0,1
1101848400,90.9,91.41,90.03,90.26,0,1
1101934800,89.89,91.16,89.69,90.79,0,1
1102021200,89.61,90.66,89.19,89.86,0,1
1102107600,90.11,90.44,88.71,89.91,0,1
1102366800,88.06,90.26,87.92,89.48,0,1
1102453200,85.63,88.01,85.19,87.91,0,1
1102539600,84.91,86.75,84.28,85.2,0,1
1102626000,86.63,86.66,84.15,85.04,0,1
1102712400,85.74,87.35,85.56,86.63,0,1
1102971600,85.14,86.5,84.64,85.93,0,1
1103058000,89.26,89.32,84.72,85.41,0,1
1103144400,89.8,90.25,88.24,88.91,0,1
1103230800,88.15,90.15,87.89,88.52,0,1
1103317200,89.95,90.16,88.19,88.29,0,1
1103576400,92.42,94.14,90.84,90.91,0,1
1103662800,91.78,93.85,91.61,93.05,0,1
1103749200,93.06,93.33,91.41,91.86,0,1
1103835600,93.86,94.21,92.91,93.63,0,1
1104181200,95.86,96.55,94.46,94.48,0,1
1104267600,96.28,96.68,95.41,95.96,0,1
1104354000,96.35,96.66,95.79,95.89,0,1
1104440400,98.7,99.02,95.83,96.39,0,1
1104526800,96.3,99.84,96.18,99.52,0,1
1104786000,101.25,101.72,97.63,98.6,0,1
1104872400,97.15,101.36,96.64,100.56,0,1
1104958800,96.66,98.35,96.02,96.63,0,1
1105045200,94.18,97.85,93.77,97.53,0,1
1105131600,96.83,97.03,94.3,95.22,0,1
1105390800,97.43,98.95,95.82,97.15,0,1
1105477200,96.67,98.76,96.49,97.71,0,1
1105563600,97.59,97.87,95.15,97.07,0,1
1105650000,97.57,98.6,96.93,97.59,0,1
1105736400,99.89,99.9,96.97,97.9,0,1
1106082000,101.85,102.41,99.23,100.34,0,1
1106168400,98.55,102.55,98.26,102.22,0,1
1106254800,96.86,98.03,95.9,96.19,0,1
1106341200,94.05,97.58,93.97,97.12,0,1
1106600400,90.27,94.57,90.07,94.25,0,1
1106686800,88.47,91.03,88.06,91.01,0,1
1106773200,94.53,94.61,89.49,89.55,0,1
1106859600,93.95,94.34,92.51,94.29,0,1
1106946000,95.07,97.25,93.08,94.91,0,1
1107205200,97.71,98.08,95.76,96.75,0,1
1107291600,95.85,101.77,95.22,97.09,0,1
1107378000,102.88,108.29,101.73,107.67,0,1
1107464400,105.32,106.58,102.8,102.89,0,1
1107550800,102.08,103.77,101.2,103.13,0,1
1107810000,97.92,103.1,97.66,102.53,0,1
1107896400,99.22,99.91,97.17,98.38,0,1
1107982800,95.69,100.7,94.64,100.28,0,1
1108069200,93.9,96.01,92.53,95.89,0,1
1108155600,93.61,96.06,92.94,93.24,0,1
1108414800,96.4,96.44,90.41,91.33,0,1
1108501200,97.517,99.82,96.443,96.706,0,1
1108587600,99.11,99.57,97.05,97.25,0,1
1108674000,98.85,99.78,98.31,98.82,0,1
1108760400,98.88,99.32,98.23,99.16,0,1
1109106000,95.59,99.35,95.1,98.15,0,1
1109192400,96.88,97.14,94.24,96.55,0,1
1109278800,94.35,94.83,91.02,91.59,0,1
1109365200,92.84,94.87,92.66,94.48,0,1
1109624400,93.9,94.84,92.83,92.91,0,1
1109710800,92.94,94.78,92.6,94.55,0,1
1109797200,92.5,93.74,92.09,92.88,0,1
1109883600,93.409,93.781,92.063,92.972,0,1
1109970000,92.86,93.53,92.44,93.26,0,1
1110229200,94.31,94.71,93.42,93.8,0,1
1110315600,92.51,94.83,92.39,94.46,0,1
1110402000,90.58,92.23,89.99,92.01,0,1
1110488400,89.9,90.51,88.61,90.41,0,1
1110574800,88.81,90.38,88.49,90.13,0,1
1110834000,87.41,89.11,86.2,89.08,0,1
1110920400,89.22,89.91,87.02,87.56,0,1
1111006800,87.71,89.22,87.42,88.26,0,1
1111093200,89.56,89.73,87.81,88.48,0,1
1111179600,89.93,90.11,89.07,89.32,0,1
1111438800,90.35,90.99,88.54,89.55,0,1
1111525200,89.21,90.88,88.84,90.5,0,1
1111611600,89.4,90.03,88.9,88.9,0,1
1111698000,89.54,90.34,89.51,90.26,0,1
1112043600,90.62,92.31,90.38,90.75,0,1
1112130000,89.7,91.55,88.95,90.43,0,1
1112216400,90.13,90.63,89.71,90.23,0,1
1112302800,90.16,90.6,88.73,88.89,0,1
1112389200,89.93,91.38,89.91,90.79,0,1
1112644800,92.55,92.57,89.83,89.89,0,1
1112731200,94.19,95.03,93.69,93.77,0,1
1112817600,94.52,94.73,93.7,94.53,0,1
1112904000,96.78,97.21,94.23,94.3,0,1
1112990400,95.93,97.45,95.63,96.75,0,1
